,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-10-13 10:22:17.062000+00:00,100000.27000000,0.00000000,100000.27000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,99928.29952000,0.00000000,99928.29952000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,100000.27000000,0.00000000,100000.27000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:22:17.062000+00:00,99928.29952000,0.03006000,99928.26946000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,100000.27000000,0.00000000,100000.27000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,99928.29952000,0.00000000,99928.29952000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,100000.27000000,0.00000000,100000.27000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,99928.29172000,8.07591960,99920.21580040,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,100000.30000000,0.00000000,100000.30000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,99920.48392000,0.00000000,99920.48392000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,100000.30000000,0.00000000,100000.30000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:27:50.497000+00:00,99920.48392000,0.03006000,99920.45386000,USDT,BINANCE-001,CASH,,b'[]',False,b'{}'
2022-10-13 10:30:41.363000+00:00,100000.30000000,0.00000000,100000.30000000,BNB,BINANCE-001,CASH,,b'[]',False,b'{}'
